# wavelength_angstroms eazyspectemp00 eazyspectemp01 eazyspectemp02 eazyspectemp03 eazyspectemp04 eazyspectemp05 eazyspectemp06 eazyspectemp07 eazyspectemp08 eazyspectemp09 eazyspectemp10 eazyspectemp11 eazyspectemp12
366.0 2.168276e-07 2.614745e-08 1.197822e-06 3.002936e-06 5.667107e-08 1.910038e-06 1.18977e-05 1.503158e-08 2.703498e-06 3.315153e-06 8.694332e-09 6.310568e-09 2.840343e-10
375.0 2.091098e-07 2.229689e-08 1.058788e-06 2.716078e-06 5.148311e-08 1.725959e-06 1.083549e-05 1.365877e-08 2.478579e-06 2.980237e-06 7.894197e-09 5.725919e-09 2.574756e-10
385.0 2.037874e-07 1.989263e-08 9.602757e-07 2.372019e-06 3.904074e-08 1.443988e-06 8.553306e-06 1.111449e-08 1.919372e-06 2.343699e-06 6.323804e-09 4.531043e-09 2.037076e-10
395.0 2.076656e-07 2.200453e-08 9.998293e-07 2.478905e-06 4.952686e-08 1.611968e-06 1.032426e-05 1.285808e-08 2.338375e-06 2.873192e-06 7.474564e-09 5.447137e-09 2.450691e-10
405.0 2.136104e-07 2.118096e-08 9.416521e-07 2.393843e-06 4.869807e-08 1.583704e-06 1.015761e-05 1.25987e-08 2.307165e-06 2.831629e-06 7.347842e-09 5.365724e-09 2.413799e-10
414.0 2.246673e-07 2.041414e-08 8.755317e-07 2.22039e-06 4.902386e-08 1.546844e-06 1.021758e-05 1.235476e-08 2.252781e-06 2.727369e-06 7.256331e-09 5.305883e-09 2.388974e-10
422.0 2.329916e-07 1.943076e-08 8.320791e-07 2.104934e-06 4.044694e-08 1.362045e-06 8.593414e-06 1.076392e-08 1.924459e-06 2.406555e-06 6.240024e-09 4.53869e-09 2.041008e-10
430.0 2.507744e-07 1.991472e-08 8.111622e-07 2.062998e-06 4.002402e-08 1.354465e-06 8.547311e-06 1.063071e-08 1.86666e-06 2.297144e-06 6.160779e-09 4.462906e-09 2.008462e-10
441.0 2.678887e-07 1.882623e-08 7.418555e-07 1.850459e-06 3.978948e-08 1.284234e-06 8.336811e-06 1.014533e-08 1.820004e-06 2.185148e-06 5.930595e-09 4.314644e-09 1.942693e-10
451.0 3.097937e-07 2.108097e-08 7.288222e-07 1.817804e-06 3.987309e-08 1.255986e-06 8.273221e-06 1.007365e-08 1.856267e-06 2.26257e-06 5.910638e-09 4.328302e-09 1.947695e-10
460.0 3.574094e-07 1.825252e-08 6.974409e-07 1.74446e-06 3.867296e-08 1.227787e-06 8.098815e-06 9.772457e-09 1.754599e-06 2.12514e-06 5.733439e-09 4.182491e-09 1.883633e-10
470.0 3.455392e-07 1.969881e-08 6.556558e-07 1.677852e-06 3.652612e-08 1.173807e-06 7.65851e-06 9.324923e-09 1.707593e-06 2.07292e-06 5.471202e-09 4.001629e-09 1.800434e-10
480.0 3.99664e-07 2.090665e-08 6.266925e-07 1.58628e-06 3.48706e-08 1.124747e-06 7.380067e-06 8.910614e-09 1.583213e-06 1.956537e-06 5.227183e-09 3.814548e-09 1.717176e-10
490.0 3.680247e-07 1.597468e-08 5.897403e-07 1.479258e-06 3.274725e-08 1.04466e-06 6.879092e-06 8.37107e-09 1.557118e-06 1.938779e-06 4.927637e-09 3.625321e-09 1.629896e-10
500.0 4.823945e-07 2.208757e-08 5.718773e-07 1.455701e-06 3.309846e-08 1.055709e-06 6.955162e-06 8.395395e-09 1.53395e-06 1.914402e-06 4.948625e-09 3.634332e-09 1.634817e-10
506.0 2.300946e-06 1.707449e-08 6.409707e-07 1.429101e-06 3.127263e-08 1.042625e-06 6.734338e-06 8.256302e-09 1.4438e-06 1.770871e-06 4.803255e-09 3.485922e-09 1.569739e-10
512.0 4.217368e-06 4.22733e-08 7.023465e-07 1.325697e-06 2.885731e-08 9.722713e-07 6.322756e-06 7.845144e-09 1.297345e-06 1.668146e-06 4.50783e-09 3.248029e-09 1.46218e-10
520.0 3.454497e-06 3.966283e-08 6.613316e-07 1.357558e-06 3.073666e-08 1.006067e-06 6.602669e-06 8.143569e-09 1.432495e-06 1.830735e-06 4.732497e-09 3.450342e-09 1.551321e-10
530.0 4.552627e-06 5.033011e-08 6.865361e-07 1.276536e-06 2.982929e-08 9.373893e-07 6.32394e-06 7.820555e-09 1.359604e-06 1.732669e-06 4.52407e-09 3.289341e-09 1.480588e-10
540.0 2.643293e-06 5.111018e-08 5.678483e-07 1.192073e-06 2.727202e-08 8.724982e-07 5.78031e-06 7.055032e-09 1.2002e-06 1.503803e-06 4.096699e-09 2.967879e-09 1.337385e-10
550.0 3.258725e-06 4.769073e-08 5.674278e-07 1.12366e-06 2.473583e-08 8.343264e-07 5.436577e-06 6.674916e-09 1.079345e-06 1.377162e-06 3.841993e-09 2.76043e-09 1.243327e-10
560.0 5.142123e-06 7.552364e-08 6.477792e-07 1.133138e-06 2.676493e-08 8.67348e-07 5.679426e-06 7.155598e-09 1.257925e-06 1.681122e-06 4.134188e-09 3.023398e-09 1.358493e-10
570.0 5.516001e-06 9.206232e-08 6.422474e-07 1.081992e-06 2.485379e-08 8.251843e-07 5.323849e-06 6.794321e-09 1.164697e-06 1.626125e-06 3.90353e-09 2.851258e-09 1.280224e-10
580.0 4.533509e-06 8.335363e-08 5.806369e-07 1.035555e-06 2.456128e-08 7.973069e-07 5.198511e-06 6.502482e-09 1.103687e-06 1.465032e-06 3.749975e-09 2.72576e-09 1.226576e-10
590.0 6.096185e-06 1.232105e-07 6.345564e-07 9.979133e-07 2.450173e-08 7.829544e-07 5.085782e-06 6.527513e-09 1.137627e-06 1.603444e-06 3.752626e-09 2.75289e-09 1.236191e-10
600.0 5.764333e-06 1.270417e-07 6.020349e-07 9.10429e-07 2.349344e-08 7.095038e-07 4.834423e-06 6.099433e-09 1.043427e-06 1.48399e-06 3.510324e-09 2.574503e-09 1.15745e-10
610.0 4.546025e-06 1.314483e-07 5.206173e-07 8.698175e-07 1.922884e-08 6.921654e-07 4.217727e-06 5.457494e-09 9.202394e-07 1.258226e-06 3.101193e-09 2.246726e-09 1.007031e-10
620.0 6.860458e-06 1.8946e-07 6.235305e-07 8.927792e-07 2.301902e-08 7.120618e-07 4.590616e-06 5.940855e-09 9.787854e-07 1.359246e-06 3.37378e-09 2.44643e-09 1.103604e-10
630.0 7.291898e-06 1.895411e-07 6.220512e-07 8.553847e-07 2.210524e-08 6.967432e-07 4.455331e-06 5.770423e-09 9.229154e-07 1.233673e-06 3.253376e-09 2.338196e-09 1.057952e-10
640.0 6.559861e-06 1.940446e-07 5.81806e-07 8.137724e-07 2.140603e-08 6.486396e-07 4.23069e-06 5.490945e-09 9.17221e-07 1.279707e-06 3.120396e-09 2.278553e-09 1.033224e-10
650.0 7.507221e-06 2.450735e-07 6.133915e-07 7.990133e-07 2.163311e-08 6.499766e-07 4.119463e-06 5.47177e-09 9.174972e-07 1.296192e-06 3.09141e-09 2.266665e-09 1.033428e-10
658.0 7.586212e-06 2.41313e-07 6.088025e-07 7.745049e-07 2.079455e-08 6.253641e-07 3.983043e-06 5.259786e-09 8.382348e-07 1.1257e-06 2.946357e-09 2.134732e-09 9.810483e-11
665.0 8.18062e-06 2.484222e-07 6.285885e-07 7.508093e-07 2.066794e-08 6.024486e-07 3.914465e-06 5.183494e-09 8.04407e-07 1.100435e-06 2.888578e-09 2.095617e-09 9.704031e-11
675.0 9.185591e-06 3.200155e-07 6.634322e-07 7.379e-07 2.111291e-08 6.082338e-07 3.824982e-06 5.214588e-09 8.308236e-07 1.165437e-06 2.892816e-09 2.132192e-09 9.977329e-11
685.0 1.247563e-05 6.017833e-07 7.892848e-07 7.269742e-07 2.439095e-08 5.898759e-07 3.452127e-06 5.107579e-09 7.428876e-07 1.083278e-06 2.728666e-09 1.991869e-09 9.507703e-11
695.0 9.936858e-06 4.241248e-07 6.77371e-07 6.953622e-07 2.144856e-08 5.799812e-07 3.552584e-06 4.976494e-09 7.815322e-07 1.094599e-06 2.731823e-09 2.064874e-09 1.00264e-10
705.0 1.150636e-05 4.361865e-07 7.427356e-07 6.803489e-07 2.102976e-08 5.62282e-07 3.487595e-06 4.986409e-09 7.578458e-07 1.063839e-06 2.700267e-09 2.072466e-09 1.027805e-10
716.0 1.087985e-05 4.576451e-07 7.050047e-07 6.53682e-07 2.083067e-08 5.499827e-07 3.366095e-06 4.836089e-09 7.4427e-07 1.135281e-06 2.633531e-09 2.116491e-09 1.097985e-10
